match_date,tournament,surface,best_of,player1,player2,player1_rank,player2_rank,player1_odds,player2_odds,result,winner,sets,duration,aces,double_faults,first_serve_pct,break_points_saved,break_points_converted
2000-01-10,Auckland,Hard,3,Tommy Haas,Jeff Tarango,11,63,10.0,1.05,player1,player1,3,108,25,12,51.04,3.0,2.0
2000-01-10,Auckland,Hard,3,Juan Balcells,Franco Squillari,211,49,1.05,10.0,player1,player1,2,85,10,13,68.42,5.0,1.0
2000-01-10,Auckland,Hard,3,Alberto Martin,Alberto Berasategui,48,59,4.55,1.28,player1,player1,2,56,0,6,63.64,1.0,0.0
2000-01-10,Auckland,Hard,3,Juan Carlos Ferrero,Roger Federer,45,61,7.31,1.16,player1,player1,2,68,16,3,52.83,0.0,0.0
2000-01-10,Auckland,Hard,3,Michael Sell,Nicolas Escude,167,34,1.05,10.0,player1,player1,2,115,9,10,67.35,6.0,5.0
2000-01-10,Auckland,Hard,3,Michael Chang,Byron Black,50,70,10.0,1.1,player1,player1,2,140,8,6,58.42,1.0,3.0
2000-01-10,Auckland,Hard,3,Magnus Gustafsson,Mark Nielsen,60,246,10.0,1.05,player1,player1,2,84,5,13,51.67,2.0,1.0
2000-01-10,Auckland,Hard,3,Thomas Johansson,Glenn Weiner,43,334,10.0,1.05,player1,player1,1,77,15,5,42.03,1.0,1.0
2000-01-10,Auckland,Hard,3,Sjeng Schalken,Goran Ivanisevic,37,68,10.0,1.05,player1,player1,3,90,16,13,63.24,4.0,3.0
2000-01-10,Auckland,Hard,3,Tomas Behrend,Markus Hantschk,115,95,1.1,10.0,player1,player1,2,57,3,4,68.29,2.0,0.0
2000-01-10,Auckland,Hard,3,Gaston Gaudio,Sargis Sargsian,72,52,1.1,10.0,player1,player1,3,144,3,14,58.56,9.0,4.0
2000-01-10,Auckland,Hard,3,Jiri Novak,Jonas Bjorkman,38,76,10.0,1.05,player1,player1,2,96,15,7,67.69,2.0,2.0
2000-01-10,Auckland,Hard,3,Marc Rosset,Fernando Vicente,46,53,3.24,1.45,player1,player1,2,59,5,10,61.22,2.0,1.0
2000-01-10,Auckland,Hard,3,John Van Lottum,Chris Woodruff,66,56,1.32,4.16,player1,player1,2,70,5,6,47.83,3.0,0.0
2000-01-10,Auckland,Hard,3,Jan Michael Gambill,Richard Fromberg,57,80,10.0,1.07,player1,player1,3,96,30,9,55.17,2.0,2.0
2000-01-10,Auckland,Hard,3,Magnus Norman,Francisco Costa,14,149,10.0,1.05,player1,player1,2,67,15,1,58.49,0.0,0.0
2000-01-10,Auckland,Hard,3,Juan Balcells,Tommy Haas,211,11,1.05,10.0,player1,player1,2,76,23,4,72.58,2.0,0.0
2000-01-10,Auckland,Hard,3,Juan Carlos Ferrero,Alberto Martin,45,48,2.41,1.71,player1,player1,2,161,6,9,48.57,12.0,3.0
2000-01-10,Auckland,Hard,3,Michael Chang,Michael Sell,50,167,10.0,1.05,player1,player1,2,151,6,4,61.61,5.0,4.0
2000-01-10,Auckland,Hard,3,Magnus Gustafsson,Thomas Johansson,60,43,1.14,8.08,player1,player1,2,72,4,10,53.57,9.0,0.0
2000-01-10,Auckland,Hard,3,Sjeng Schalken,Tomas Behrend,37,115,10.0,1.05,player1,player1,2,62,6,7,54.72,2.0,1.0
2000-01-10,Auckland,Hard,3,Gaston Gaudio,Jiri Novak,72,38,1.05,10.0,player1,player1,1,143,3,11,68.94,9.0,4.0
2000-01-10,Auckland,Hard,3,Marc Rosset,John Van Lottum,46,66,10.0,1.1,player1,player1,2,81,11,5,59.49,5.0,1.0
2000-01-10,Auckland,Hard,3,Magnus Norman,Jan Michael Gambill,14,57,10.0,1.05,player1,player1,2,74,10,6,63.49,3.0,0.0
2000-01-10,Auckland,Hard,3,Juan Balcells,Juan Carlos Ferrero,211,45,1.05,10.0,player1,player1,3,92,8,7,74.12,5.0,2.0
2000-01-10,Auckland,Hard,3,Michael Chang,Magnus Gustafsson,50,60,4.16,1.32,player1,player1,3,113,6,7,51.47,6.0,3.0
2000-01-10,Auckland,Hard,3,Gaston Gaudio,Sjeng Schalken,72,37,1.05,10.0,player1,player1,2,61,3,3,68.33,8.0,0.0
2000-01-10,Auckland,Hard,3,Magnus Norman,Marc Rosset,14,46,10.0,1.05,player1,player1,2,65,12,9,56.36,2.0,0.0
2000-01-10,Auckland,Hard,3,Michael Chang,Juan Balcells,50,211,10.0,1.05,player1,player1,3,105,10,2,62.2,8.0,2.0
2000-01-10,Auckland,Hard,3,Magnus Norman,Gaston Gaudio,14,72,10.0,1.05,player1,player1,2,90,5,4,64.41,4.0,3.0
2000-01-10,Auckland,Hard,3,Magnus Norman,Michael Chang,14,50,10.0,1.05,player1,player1,3,140,9,12,57.47,3.0,4.0
2000-05-22,St. Poelten,Clay,3,Andrea Gaudenzi,Nicolas Kiefer,74,8,1.05,10.0,player1,player1,1,76,1,7,70.0,4.0,4.0
2000-05-22,St. Poelten,Clay,3,Albert Portas,Juan Giner,71,399,10.0,1.05,player1,player1,3,87,4,8,47.3,2.0,3.0
2000-05-22,St. Poelten,Clay,3,Galo Blanco,Andre Sa,70,86,7.31,1.16,player1,player1,2,36,1,3,57.14,0.0,1.0
2000-05-22,St. Poelten,Clay,3,Markus Hantschk,Roger Federer,94,54,1.05,10.0,player1,player1,2,54,2,2,47.22,0.0,0.0
2000-05-22,St. Poelten,Clay,3,Andrei Medvedev,Scott Humphries,21,720,10.0,1.05,player1,player1,2,122,9,9,63.89,7.0,5.0
2000-05-22,St. Poelten,Clay,3,Christophe Rochus,Paul Goldstein,93,79,1.2,6.01,player1,player1,3,112,3,9,64.71,9.0,5.0
2000-05-22,St. Poelten,Clay,3,Jan Michael Gambill,Ivan Ljubicic,67,85,8.94,1.13,player1,player1,2,76,14,3,64.71,0.0,1.0
2000-05-22,St. Poelten,Clay,3,Andrei Pavel,Fernando Vicente,43,30,1.22,5.47,player1,player1,2,91,1,8,81.43,3.0,3.0
2000-05-22,St. Poelten,Clay,3,Sjeng Schalken,Hernan Gumy,39,92,10.0,1.05,player1,player1,2,88,3,4,51.56,1.0,2.0
2000-05-22,St. Poelten,Clay,3,Juan Antonio Marin,Jens Knippschild,77,109,10.0,1.05,player1,player1,2,59,5,6,64.29,3.0,1.0
2000-05-22,St. Poelten,Clay,3,Markus Hipfl,Marc Kevin Goellner,115,381,10.0,1.05,player1,player1,2,111,13,4,67.37,2.0,3.0
2000-05-22,St. Poelten,Clay,3,Stefan Koubek,Christian Ruud,31,87,10.0,1.05,player1,player1,2,70,0,8,46.67,4.0,3.0
2000-05-22,St. Poelten,Clay,3,Andrew Ilie,Jurgen Melzer,52,437,10.0,1.05,player1,player1,1,82,6,7,45.24,5.0,3.0
2000-05-22,St. Poelten,Clay,3,Orlin Stanoytchev,George Bastl,105,75,1.05,10.0,player1,player1,3,104,8,8,60.76,6.0,4.0
2000-05-22,St. Poelten,Clay,3,Sergi Bruguera,Alberto Berasategui,213,82,1.05,10.0,player1,player1,3,92,2,7,65.28,8.0,5.0
2000-05-22,St. Poelten,Clay,3,Jeff Tarango,Mark Philippoussis,64,25,1.05,10.0,player1,player1,3,81,18,6,57.5,4.0,2.0
2000-05-22,St. Poelten,Clay,3,Albert Portas,Andrea Gaudenzi,71,74,2.41,1.71,player1,player1,2,58,3,1,48.89,1.0,0.0
2000-05-22,St. Poelten,Clay,3,Galo Blanco,Markus Hantschk,70,94,10.0,1.06,player1,player1,2,73,7,3,61.54,3.0,1.0
2000-05-22,St. Poelten,Clay,3,Andrei Medvedev,Christophe Rochus,21,93,10.0,1.05,player1,player1,2,75,4,3,56.72,4.0,2.0
2000-05-22,St. Poelten,Clay,3,Andrei Pavel,Jan Michael Gambill,43,67,10.0,1.06,player1,player1,2,81,9,7,69.7,3.0,3.0
2000-05-22,St. Poelten,Clay,3,Juan Antonio Marin,Sjeng Schalken,77,39,1.05,10.0,player1,player1,3,131,5,13,59.6,10.0,4.0
2000-05-22,St. Poelten,Clay,3,Markus Hipfl,Stefan Koubek,115,31,1.05,10.0,player1,player1,2,56,5,3,64.1,0.0,0.0
2000-05-22,St. Poelten,Clay,3,Andrew Ilie,Orlin Stanoytchev,52,105,10.0,1.05,player1,player1,3,98,14,11,56.96,4.0,3.0
2000-05-22,St. Poelten,Clay,3,Jeff Tarango,Sergi Bruguera,64,213,10.0,1.05,player1,player1,2,72,8,3,71.15,1.0,0.0
2000-05-22,St. Poelten,Clay,3,Albert Portas,Galo Blanco,71,70,1.89,2.12,player1,player1,2,127,9,4,70.53,2.0,1.0
2000-05-22,St. Poelten,Clay,3,Andrei Pavel,Andrei Medvedev,43,21,1.08,10.0,player1,player1,3,101,8,4,66.18,0.0,3.0
2000-05-22,St. Poelten,Clay,3,Juan Antonio Marin,Markus Hipfl,77,115,10.0,1.05,player1,player1,2,85,4,4,63.77,5.0,2.0
2000-05-22,St. Poelten,Clay,3,Andrew Ilie,Jeff Tarango,52,64,4.98,1.25,player1,player1,2,72,16,3,52.63,0.0,1.0
2000-05-22,St. Poelten,Clay,3,Andrei Pavel,Albert Portas,43,71,10.0,1.05,player1,player1,3,89,5,4,67.57,3.0,3.0
2000-05-22,St. Poelten,Clay,3,Andrew Ilie,Juan Antonio Marin,52,77,10.0,1.06,player1,player1,1,85,5,5,50.0,3.0,0.0
2000-05-22,St. Poelten,Clay,3,Andrei Pavel,Andrew Ilie,43,52,3.82,1.35,player1,player1,3,137,11,9,70.19,5.0,4.0
2000-05-01,Munich,Clay,3,Thomas Enqvist,Andrei Pavel,9,83,10.0,1.05,player1,player1,3,102,18,3,69.51,7.0,2.0
2000-05-01,Munich,Clay,3,Ivan Ljubicic,Andy Fahlke,86,185,10.0,1.05,player1,player1,2,75,18,6,53.45,4.0,1.0
2000-05-01,Munich,Clay,3,Jiri Novak,Rainer Schuettler,42,68,10.0,1.05,player1,player1,2,48,3,4,69.44,1.0,0.0
2000-05-01,Munich,Clay,3,Slava Dosedel,Oliver Gross,54,201,10.0,1.05,player1,player1,2,66,0,1,80.0,3.0,0.0
2000-05-01,Munich,Clay,3,Tommy Haas,David Prinosil,19,94,10.0,1.05,player1,player1,2,48,7,4,56.1,3.0,1.0
2000-05-01,Munich,Clay,3,Bohdan Ulihrach,Filip Dewulf,114,184,10.0,1.05,player1,player1,2,64,3,2,52.83,3.0,0.0
2000-05-01,Munich,Clay,3,Federico Browne,Tomas Behrend,136,109,1.05,10.0,player1,player1,2,152,9,15,56.67,11.0,6.0
2000-05-01,Munich,Clay,3,Jonas Bjorkman,Andrei Medvedev,80,26,1.05,10.0,player1,player1,3,105,12,7,51.61,10.0,4.0
2000-05-01,Munich,Clay,3,Fernando Meligeni,Marc Rosset,36,41,2.78,1.56,player1,player1,3,112,10,10,53.49,5.0,1.0
2000-05-01,Munich,Clay,3,Gaston Etlis,Goran Ivanisevic,135,60,1.05,10.0,player1,player1,1,62,19,6,66.67,0.0,0.0
2000-05-01,Munich,Clay,3,Hernan Gumy,Daniel Vacek,87,46,1.05,10.0,player1,player1,2,53,7,6,79.49,3.0,1.0
2000-05-01,Munich,Clay,3,Max Mirnyi,Mariano Zabaleta,65,25,1.05,10.0,player1,player1,2,139,14,12,62.83,5.0,2.0
2000-05-01,Munich,Clay,3,Franco Squillari,Jens Knippschild,52,106,10.0,1.05,player1,player1,2,116,11,5,58.95,1.0,1.0
2000-05-01,Munich,Clay,3,Martin Damm Sr,Thomas Johansson,0,58,1.8,1.8,player1,player1,1,153,27,2,65.71,1.0,0.0
2000-05-01,Munich,Clay,3,Richard Fromberg,Arnaud Clement,61,53,1.4,3.51,player1,player1,2,73,11,4,68.42,1.0,0.0
2000-05-01,Munich,Clay,3,Younes El Aynaoui,Arnaud Di Pasquale,16,49,10.0,1.05,player1,player1,2,95,6,7,66.67,5.0,1.0
2000-05-01,Munich,Clay,3,Thomas Enqvist,Ivan Ljubicic,9,86,10.0,1.05,player1,player1,1,136,18,2,58.7,0.0,1.0
2000-05-01,Munich,Clay,3,Jiri Novak,Slava Dosedel,42,54,4.98,1.25,player1,player1,3,129,4,1,70.21,3.0,3.0
2000-05-01,Munich,Clay,3,Tommy Haas,Bohdan Ulihrach,19,114,10.0,1.05,player1,player1,3,128,9,7,42.39,3.0,2.0
2000-05-01,Munich,Clay,3,Federico Browne,Jonas Bjorkman,136,80,1.05,10.0,player1,player1,1,121,13,5,53.85,5.0,2.0
2000-05-01,Munich,Clay,3,Fernando Meligeni,Gaston Etlis,36,135,10.0,1.05,player1,player1,3,118,7,3,47.56,2.0,3.0
2000-05-01,Munich,Clay,3,Max Mirnyi,Hernan Gumy,65,87,10.0,1.08,player1,player1,2,51,8,3,72.34,1.0,0.0
2000-05-01,Munich,Clay,3,Franco Squillari,Martin Damm Sr,52,0,1.8,1.8,player1,player1,2,64,4,4,50.98,3.0,0.0
2000-05-01,Munich,Clay,3,Younes El Aynaoui,Richard Fromberg,16,61,10.0,1.05,player1,player1,2,,0,0,,0.0,
2000-05-01,Munich,Clay,3,Thomas Enqvist,Jiri Novak,9,42,10.0,1.05,player1,player1,2,69,10,4,65.75,6.0,0.0
2000-05-01,Munich,Clay,3,Tommy Haas,Federico Browne,19,136,10.0,1.05,player1,player1,2,65,10,6,54.0,1.0,1.0
2000-05-01,Munich,Clay,3,Max Mirnyi,Fernando Meligeni,65,36,1.05,10.0,player1,player1,2,78,5,10,61.43,3.0,2.0
2000-05-01,Munich,Clay,3,Franco Squillari,Younes El Aynaoui,52,16,1.05,10.0,player1,player1,2,137,14,4,61.22,5.0,5.0
2000-05-01,Munich,Clay,3,Tommy Haas,Thomas Enqvist,19,9,1.32,4.16,player1,player1,2,108,14,9,57.28,7.0,5.0
2000-05-01,Munich,Clay,3,Franco Squillari,Max Mirnyi,52,65,5.47,1.22,player1,player1,2,75,4,9,57.41,0.0,1.0
2000-05-01,Munich,Clay,3,Franco Squillari,Tommy Haas,52,19,1.05,10.0,player1,player1,2,76,3,4,62.26,0.0,1.0
2000-06-12,Queen's Club,Grass,3,Antony Dupuis,Magnus Gustafsson,105,77,1.05,10.0,player1,player1,3,113,11,7,61.76,10.0,2.0
2000-06-12,Queen's Club,Grass,3,Gianluca Pozzi,Jan Siemerink,76,125,10.0,1.05,player1,player1,3,112,10,12,51.09,9.0,2.0
2000-06-12,Queen's Club,Grass,3,Ronald Agenor,Marc Rosset,97,34,1.05,10.0,player1,player1,2,42,5,5,70.97,0.0,0.0
2000-06-12,Queen's Club,Grass,3,Greg Rusedski,Wayne Ferreira,20,42,10.0,1.08,player1,player1,2,67,21,12,55.74,3.0,1.0
2000-06-12,Queen's Club,Grass,3,Jens Knippschild,Alex Witt,114,498,10.0,1.05,player1,player1,3,96,15,7,48.57,2.0,2.0
2000-06-12,Queen's Club,Grass,3,Julien Boutter,Lorenzo Manta,92,103,4.55,1.28,player1,player1,2,56,12,14,66.04,2.0,1.0
2000-06-12,Queen's Club,Grass,3,Jan Michael Gambill,Adrian Voinea,62,87,10.0,1.06,player1,player1,2,63,13,12,56.36,2.0,0.0
2000-06-12,Queen's Club,Grass,3,Justin Gimelstob,Vincent Spadea,102,58,1.05,10.0,player1,player1,3,94,6,5,57.97,2.0,2.0
2000-06-12,Queen's Club,Grass,3,Fabrice Santoro,Paul Goldstein,27,74,10.0,1.05,player1,player1,1,77,4,7,50.62,8.0,3.0
2000-06-12,Queen's Club,Grass,3,Mark Philippoussis,Wayne Arthurs,17,95,10.0,1.05,player1,player1,2,64,24,8,53.33,2.0,1.0
2000-06-12,Queen's Club,Grass,3,Goran Ivanisevic,Laurence Tieleman,63,91,10.0,1.05,player1,player1,2,63,32,6,62.5,4.0,0.0
2000-06-12,Queen's Club,Grass,3,David Wheaton,Andreas Vinciguerra,436,40,1.05,10.0,player1,player1,2,68,10,9,59.32,3.0,1.0
2000-06-12,Queen's Club,Grass,3,Karol Kucera,Barry Cowan,36,170,10.0,1.05,player1,player1,2,72,10,12,54.24,5.0,0.0
2000-06-12,Queen's Club,Grass,3,Byron Black,Stephane Huet,64,106,10.0,1.05,player1,player1,2,40,2,4,72.73,0.0,1.0
2000-06-12,Queen's Club,Grass,3,Andrei Pavel,Raemon Sluiter,26,128,10.0,1.05,player1,player1,2,117,18,8,59.62,1.0,1.0
2000-06-12,Queen's Club,Grass,3,Sebastien Grosjean,George Bastl,33,71,10.0,1.05,player1,player1,2,47,5,7,50.0,3.0,0.0
2000-06-12,Queen's Club,Grass,3,Davide Sanguinetti,Martin Lee,104,289,10.0,1.05,player1,player1,2,115,13,5,52.53,3.0,2.0
2000-06-12,Queen's Club,Grass,3,Daniel Nestor,Sebastien Lareau,163,137,1.05,10.0,player1,player1,2,107,18,12,57.95,4.0,4.0
2000-06-12,Queen's Club,Grass,3,Bob Bryan,Sargis Sargsian,202,78,1.05,10.0,player1,player1,3,104,29,8,65.22,8.0,1.0
2000-06-12,Queen's Club,Grass,3,Max Mirnyi,Markus Hantschk,60,90,10.0,1.05,player1,player1,1,73,6,6,66.15,3.0,2.0
2000-06-12,Queen's Club,Grass,3,Todd Martin,Paradorn Srichaphan,22,88,10.0,1.05,player1,player1,1,85,13,13,60.0,3.0,1.0
2000-06-12,Queen's Club,Grass,3,Andre Sa,Andrew Ilie,84,39,1.05,10.0,player1,player1,2,131,4,19,54.87,12.0,5.0
2000-06-12,Queen's Club,Grass,3,Michael Llodra,Christophe Rochus,169,86,1.05,10.0,player1,player1,3,111,9,18,46.34,1.0,2.0
2000-06-12,Queen's Club,Grass,3,Arvind Parmar,Scott Draper,157,400,10.0,1.05,player1,player1,2,83,22,9,58.23,3.0,2.0
2000-06-12,Queen's Club,Grass,3,Andre Agassi,Antony Dupuis,1,105,10.0,1.05,player1,player1,3,101,23,17,51.61,9.0,1.0
2000-06-12,Queen's Club,Grass,3,Gianluca Pozzi,Ronald Agenor,76,97,10.0,1.09,player1,player1,3,103,10,8,48.61,5.0,1.0
2000-06-12,Queen's Club,Grass,3,Greg Rusedski,Jens Knippschild,20,114,10.0,1.05,player1,player1,0,92,23,11,54.84,5.0,0.0
2000-06-12,Queen's Club,Grass,3,Marat Safin,Julien Boutter,8,92,10.0,1.05,player1,player1,3,120,25,22,52.34,4.0,3.0
2000-06-12,Queen's Club,Grass,3,Cedric Pioline,Jan Michael Gambill,6,62,10.0,1.05,player1,player1,3,105,17,10,56.52,4.0,1.0
2000-06-12,Queen's Club,Grass,3,Justin Gimelstob,Fabrice Santoro,102,27,1.05,10.0,player1,player1,3,88,10,8,54.29,1.0,1.0
2000-06-12,Queen's Club,Grass,3,Goran Ivanisevic,Mark Philippoussis,63,17,1.05,10.0,player1,player1,2,58,20,11,54.39,3.0,0.0
2000-06-12,Queen's Club,Grass,3,Lleyton Hewitt,David Wheaton,11,436,10.0,1.05,player1,player1,2,73,16,9,55.56,0.0,0.0
2000-06-12,Queen's Club,Grass,3,Karol Kucera,Thomas Enqvist,36,7,1.05,10.0,player1,player1,2,111,22,20,55.56,8.0,4.0
2000-06-12,Queen's Club,Grass,3,Andrei Pavel,Byron Black,26,64,10.0,1.05,player1,player1,1,89,9,2,59.42,1.0,2.0
2000-06-12,Queen's Club,Grass,3,Davide Sanguinetti,Sebastien Grosjean,104,33,1.05,10.0,player1,player1,1,151,12,5,54.33,11.0,5.0
2000-06-12,Queen's Club,Grass,3,Daniel Nestor,Michael Hill,163,226,10.0,1.05,player1,player1,2,54,19,3,80.0,1.0,0.0
2000-06-12,Queen's Club,Grass,3,Bob Bryan,Tim Henman,202,14,1.05,10.0,player1,player1,1,81,12,3,60.98,5.0,1.0
2000-06-12,Queen's Club,Grass,3,Max Mirnyi,Todd Martin,60,22,1.05,10.0,player1,player1,2,95,22,13,61.22,4.0,1.0
2000-06-12,Queen's Club,Grass,3,Michael Llodra,Andre Sa,169,84,1.05,10.0,player1,player1,2,41,3,2,50.0,1.0,0.0
2000-06-12,Queen's Club,Grass,3,Pete Sampras,Arvind Parmar,4,157,10.0,1.05,player1,player1,2,102,31,9,55.17,1.0,1.0
2000-06-12,Queen's Club,Grass,3,Gianluca Pozzi,Andre Agassi,76,1,1.05,10.0,player1,player1,2,57,6,4,47.83,2.0,3.0
2000-06-12,Queen's Club,Grass,3,Marat Safin,Greg Rusedski,8,20,4.98,1.25,player1,player1,1,124,23,18,56.03,5.0,3.0
2000-06-12,Queen's Club,Grass,3,Cedric Pioline,Justin Gimelstob,6,102,10.0,1.05,player1,player1,2,89,25,13,46.25,7.0,0.0
2000-06-12,Queen's Club,Grass,3,Lleyton Hewitt,Goran Ivanisevic,11,63,10.0,1.05,player1,player1,2,69,22,8,58.33,2.0,0.0
2000-06-12,Queen's Club,Grass,3,Andrei Pavel,Karol Kucera,26,36,4.16,1.32,player1,player1,2,129,15,8,64.91,5.0,5.0
2000-06-12,Queen's Club,Grass,3,Davide Sanguinetti,Daniel Nestor,104,163,10.0,1.05,player1,player1,3,99,25,13,54.76,2.0,2.0
2000-06-12,Queen's Club,Grass,3,Bob Bryan,Max Mirnyi,202,60,1.05,10.0,player1,player1,3,85,14,7,61.54,3.0,2.0
2000-06-12,Queen's Club,Grass,3,Pete Sampras,Michael Llodra,4,169,10.0,1.05,player1,player1,1,55,12,3,80.36,0.0,0.0
2000-06-12,Queen's Club,Grass,3,Gianluca Pozzi,Marat Safin,76,8,1.05,10.0,player1,player1,1,105,10,7,43.9,8.0,2.0
2000-06-12,Queen's Club,Grass,3,Lleyton Hewitt,Cedric Pioline,11,6,1.56,2.78,player1,player1,2,80,13,11,49.15,2.0,1.0
2000-06-12,Queen's Club,Grass,3,Davide Sanguinetti,Andrei Pavel,104,26,1.05,10.0,player1,player1,2,113,16,4,59.09,3.0,4.0
2000-06-12,Queen's Club,Grass,3,Pete Sampras,Bob Bryan,4,202,10.0,1.05,player1,player1,2,61,16,5,56.25,0.0,0.0
2000-06-12,Queen's Club,Grass,3,Lleyton Hewitt,Gianluca Pozzi,11,76,10.0,1.05,player1,player1,2,80,8,8,40.35,3.0,1.0
2000-06-12,Queen's Club,Grass,3,Pete Sampras,Davide Sanguinetti,4,104,10.0,1.05,player1,player1,2,74,25,11,70.59,8.0,0.0
2000-06-12,Queen's Club,Grass,3,Lleyton Hewitt,Pete Sampras,11,4,1.45,3.24,player1,player1,2,73,14,6,50.79,0.0,1.0
2000-07-10,Gstaad,Clay,3,Alex Corretja,Roger Federer,10,39,10.0,1.05,player1,player1,3,137,16,12,52.08,8.0,2.0
2000-07-10,Gstaad,Clay,3,Vincent Spadea,Sergi Bruguera,65,184,10.0,1.05,player1,player1,3,114,2,9,50.0,5.0,3.0
2000-07-10,Gstaad,Clay,3,George Bastl,Lucas Arnold Ker,75,596,10.0,1.05,player1,player1,2,68,3,2,76.92,2.0,1.0
2000-07-10,Gstaad,Clay,3,Marcelo Rios,Slava Dosedel,24,56,10.0,1.05,player1,player1,2,123,13,14,49.54,4.0,2.0
2000-07-10,Gstaad,Clay,3,Gaston Gaudio,Juan Carlos Ferrero,42,12,1.05,10.0,player1,player1,1,98,10,5,49.23,0.0,1.0
2000-07-10,Gstaad,Clay,3,Max Mirnyi,Mariano Zabaleta,58,43,1.18,6.62,player1,player1,1,,0,0,,0.0,
2000-07-10,Gstaad,Clay,3,Marc Rosset,Michel Kratochvil,28,100,10.0,1.05,player1,player1,2,61,9,13,47.62,2.0,1.0
2000-07-10,Gstaad,Clay,3,Franco Squillari,Rainer Schuettler,20,68,10.0,1.05,player1,player1,2,93,8,18,45.21,2.0,3.0
2000-07-10,Gstaad,Clay,3,Francisco Clavet,Younes El Aynaoui,46,15,1.05,10.0,player1,player1,3,112,9,7,64.89,6.0,1.0
2000-07-10,Gstaad,Clay,3,Jiri Novak,Hicham Arazi,44,36,1.4,3.51,player1,player1,1,72,3,6,77.14,6.0,2.0
2000-07-10,Gstaad,Clay,3,Jerome Golmard,Nicolas Thomann,61,296,10.0,1.05,player1,player1,3,124,15,7,49.43,9.0,2.0
2000-07-10,Gstaad,Clay,3,Albert Costa,Stefan Koubek,17,40,10.0,1.07,player1,player1,3,114,9,4,45.88,2.0,2.0
2000-07-10,Gstaad,Clay,3,Mariano Puerta,Arnaud Di Pasquale,23,53,10.0,1.05,player1,player1,2,86,3,6,53.23,7.0,2.0
2000-07-10,Gstaad,Clay,3,Felix Mantilla,Fernando Vicente,95,35,1.05,10.0,player1,player1,2,67,4,2,69.77,1.0,2.0
2000-07-10,Gstaad,Clay,3,Sebastien Grosjean,Ivo Heuberger,27,204,10.0,1.05,player1,player1,2,82,8,8,51.72,4.0,1.0
2000-07-10,Gstaad,Clay,3,Nicolas Kiefer,Alex Calatrava,13,120,10.0,1.05,player1,player1,1,88,16,7,57.14,3.0,0.0
2000-07-10,Gstaad,Clay,3,Alex Corretja,Vincent Spadea,10,65,10.0,1.05,player1,player1,2,68,7,5,63.41,0.0,0.0
2000-07-10,Gstaad,Clay,3,Marcelo Rios,George Bastl,24,75,10.0,1.05,player1,player1,2,76,21,9,56.52,5.0,2.0
2000-07-10,Gstaad,Clay,3,Gaston Gaudio,Max Mirnyi,42,58,7.31,1.16,player1,player1,3,121,9,14,56.98,3.0,4.0
2000-07-10,Gstaad,Clay,3,Franco Squillari,Marc Rosset,20,28,3.51,1.4,player1,player1,2,123,7,11,55.07,1.0,1.0
2000-07-10,Gstaad,Clay,3,Jiri Novak,Francisco Clavet,44,46,2.26,1.79,player1,player1,2,86,3,5,60.56,4.0,3.0
2000-07-10,Gstaad,Clay,3,Albert Costa,Jerome Golmard,17,61,10.0,1.05,player1,player1,2,92,13,4,50.72,1.0,1.0
2000-07-10,Gstaad,Clay,3,Mariano Puerta,Felix Mantilla,23,95,10.0,1.05,player1,player1,2,60,3,5,53.85,2.0,0.0
2000-07-10,Gstaad,Clay,3,Sebastien Grosjean,Nicolas Kiefer,27,13,1.2,6.01,player1,player1,2,61,8,5,49.02,6.0,1.0
2000-07-10,Gstaad,Clay,3,Alex Corretja,Marcelo Rios,10,24,6.01,1.2,player1,player1,2,124,10,12,57.43,12.0,1.0
2000-07-10,Gstaad,Clay,3,Gaston Gaudio,Franco Squillari,42,20,1.08,10.0,player1,player1,2,55,3,4,54.76,4.0,0.0
2000-07-10,Gstaad,Clay,3,Albert Costa,Jiri Novak,17,44,10.0,1.05,player1,player1,2,70,1,2,55.93,4.0,1.0
2000-07-10,Gstaad,Clay,3,Mariano Puerta,Sebastien Grosjean,23,27,2.58,1.63,player1,player1,1,88,5,3,62.03,4.0,1.0
2000-07-10,Gstaad,Clay,3,Alex Corretja,Gaston Gaudio,10,42,10.0,1.05,player1,player1,2,117,13,8,36.0,2.0,2.0
2000-07-10,Gstaad,Clay,3,Mariano Puerta,Albert Costa,23,17,1.5,3.0,player1,player1,2,96,8,2,58.06,4.0,2.0
2000-07-10,Gstaad,Clay,3,Alex Corretja,Mariano Puerta,10,23,5.47,1.22,player1,player1,2,66,5,2,56.82,1.0,0.0
2000-07-10,Newport,Grass,3,Chris Woodruff,Michael Russell,64,185,10.0,1.05,player1,player1,2,50,2,11,60.98,0.0,0.0
2000-07-10,Newport,Grass,3,Mardy Fish,Cristiano Caratti,556,159,1.05,10.0,player1,player1,2,120,10,8,58.56,13.0,2.0
2000-07-10,Newport,Grass,3,Bob Bryan,Jim Thomas,158,396,10.0,1.05,player1,player1,2,80,15,5,55.74,4.0,1.0
2000-07-10,Newport,Grass,3,Wayne Arthurs,James Sekulov,154,142,1.25,4.98,player1,player1,2,55,12,11,47.5,0.0,0.0
2000-07-10,Newport,Grass,3,Jonas Bjorkman,Axel Pretzsch,60,164,10.0,1.05,player1,player1,3,100,11,11,56.52,2.0,3.0
2000-07-10,Newport,Grass,3,Christian Vinck,Jeff Morrison,126,1014,10.0,1.05,player1,player1,2,52,10,10,72.73,1.0,0.0
